ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDateTime,VmvCode,VariableCode,VariableName,MeasurementFlag,MeasurementValue,UnitCode,SampleDetectLimit,MeasurementComment,MeasurementQualifier,MeasurementQualifierDescription,MeasurementQualifierComment,MethodCode,MethodDetectionLimit,LabCode,QualityClass,SampleCommentCategory,llm_category_label,llm_qualifier,llm_variable_name,llm_model
ABSU34,20SWE00073,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,16.0,N,No edge ice. Recent snow last night. Sunny now. Wind West 0-5kph.,2020-10-14 11:00:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 49mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSU34,21SWE00039,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,16.0,N,"Low flow. Direct filled. No snow in area, recent rains. Some rock flour turbidity in water column.",2021-05-04 09:00:00,100629,433,COLIFORMS FECAL,,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 13mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,20SWE00014,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,"Augered hole, Direct filled bottles. Very good flow. Sampled off of d/s point of island (~20m toward LB).",2020-02-11 10:35:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 23mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,20SWE00024,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,14,128.0,N,"Main Sample. Inorganics Replicate (20SWE00025) & Field Blank (20SWE00026) poured off. Used underice sampler with carboy #28 for main and #39 for replicate.  Used carboy #28 for FB (see note later in comments).  Found flow towards LB, just off the bottom end of the island tip. Augered hole - really thick ice. Didn't bring 2nd Maxxam blank water to rinse carboy, so sent bottles with remaining blank water back to McIntyre to be poured off (by rinsing carboy #28 with blank waters, filling & triple rinsing bottles before filling). Used R/C for Metals & Hgs.",2020-03-10 10:00:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 57mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,20SWE00051,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Water levels very high. River really turbid. Couldn't land anywhere center channel on islands. Sampled from RB in good flow. Lots of standing water in the flood plains.,2020-06-16 09:45:00,100629,433,COLIFORMS FECAL,,50,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 25mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,20SWE00056,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,"Direct filled all bottles. River too high to land on island, so landed at cabin on RB. Small logs running in river, along with small debris.",2020-07-15 09:00:00,100629,433,COLIFORMS FECAL,,30,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 10mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,20SWE00064,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,"Sampled off RB near cabin. Sand is visable on island tip, but is too soft to land. Water level drops off right near shore.  Lots of ditritus, twigs, organic ""scum"" on water. Lots of bugs :(",2020-08-11 08:00:00,100629,433,COLIFORMS FECAL,,30,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 4hrs 1min past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,20SWE00072,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Sampled off southside of the island. Cougar tracks sited!!,2020-09-15 08:15:00,100629,433,COLIFORMS FECAL,,20,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 56mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,20SWE00077,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Direct filled all bottles off left side of northern tip of usual island. Very windy (20-40kph westerly). Light snow starting.,2020-10-14 09:10:00,100629,433,COLIFORMS FECAL,,40,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 2hrs 40mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,20SWE00085,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,14,128.0,N,Landed at lower end of island. Sampled towards center channel off lower end of island. Used underice sampler (Carboy #30) and R/C to fill bottles. Bacti out of carboy.,2020-11-17 09:30:00,100629,433,COLIFORMS FECAL,,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 47mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
