column,dtype,non_null_count,null_count,null_percent,unique_values,duplicate_values,min,max,mean,median,std,top_5_values
ProjectNumber,str,247121,0,0.0,25,247096,,,,,,
SampleNumber,str,247121,0,0.0,4608,242513,,,,,,
ContinentalRiverBasinCode,str,247121,0,0.0,4,247117,,,,,,
RiverBasinCode,str,247121,0,0.0,10,247111,,,,,,
RiverSubBasinCode,str,247121,0,0.0,60,247061,,,,,,
StationTypeCode,int64,247121,0,0.0,1,247120,0.0,0.0,0.0,0.0,0.0,
StationNumber,str,247121,0,0.0,174,246947,,,,,,
Station,str,247121,0,0.0,174,246947,,,,,,
LatitudeDecimalDegrees,float64,247121,0,0.0,172,246949,49.02673,58.44722,52.15212387356801,52.05167,2.113365996619734,
LongitudeDecimalDegrees,float64,247121,0,0.0,174,246947,-119.99028,-110.02972,-113.84239407634315,-113.8175,1.9590060147302468,
SampleMatrixCode,int64,247121,0,0.0,1,247120,0.0,0.0,0.0,0.0,0.0,
SampleTypeCode,int64,247121,0,0.0,3,247118,1.0,14.0,2.0082145993258362,1.0,3.4735772060221817,
CollectionCode,float64,247070,51,0.020637663330918862,3,247118,16.0,128.0,24.733953940178896,16.0,30.024814803530752,
QCSampleFlag,str,247121,0,0.0,1,247120,,,,,,
SampleComment,str,237508,9613,3.889997207845549,4026,243095,,,,,,
SampleDateTime,str,247121,0,0.0,4313,242808,,,,,,
VmvCode,int64,247121,0,0.0,91,247030,14.0,109225.0,45239.46251431485,12111.0,47146.265442090094,
VariableCode,int64,247121,0,0.0,82,247039,364.0,5443.0,1353.7132093185119,641.0,1384.1800375594785,
VariableName,str,247121,0,0.0,82,247039,,,,,,
MeasurementFlag,str,37527,209594,84.81432172903153,2,247119,,,,,,
MeasurementValue,object,247121,0,0.0,9512,237609,,,,,,"{1.0: 19503, 0.0: 11737, 0.003: 8286, 2.0: 5516, 10.0: 4311}"
UnitCode,str,224589,22532,9.117800591613015,19,247102,,,,,,
SampleDetectLimit,float64,150214,96907,39.21439294920302,92,247029,0.0001,130.0,1.1178474017068982,0.3,2.5075663017758725,
MeasurementComment,str,124,246997,99.94982215190129,74,247047,,,,,,
MeasurementQualifier,str,8656,238465,96.49726247465816,17,247104,,,,,,
MeasurementQualifierDescription,str,8656,238465,96.49726247465816,17,247104,,,,,,
MeasurementQualifierComment,str,8577,238544,96.52923061981782,865,246256,,,,,,
MethodCode,int64,247121,0,0.0,59,247062,4.0,4407.0,1582.6062010108408,1516.0,1277.684208177018,
MethodDetectionLimit,float64,164463,82658,33.44839167857042,20,247101,0.0,10.0,0.6032365468220816,0.05,1.644322999899507,
LabCode,int64,247121,0,0.0,7,247114,10.0,106.0,41.887472129038,23.0,27.003059880281025,
