MeasurementQualifier,MeasurementQualifierDescription,Frequency
DR,DILUTION REQUIRED TO ANALYZE THE SAMPLE AND MDL ADJUSTED ACCORDINGLY,218
DR|FSE,DILUTION REQUIRED TO ANALYZE THE SAMPLE AND MDL ADJUSTED ACCORDINGLY|FALLS WITHIN STANDARD ERROR,3
DR|HT,DILUTION REQUIRED TO ANALYZE THE SAMPLE AND MDL ADJUSTED ACCORDINGLY|HOLDING TIME EXCEEDED,2
DR|SPNF,DILUTION REQUIRED TO ANALYZE THE SAMPLE AND MDL ADJUSTED ACCORDINGLY|STANDARD PROCEDURE NOT FOLLOWED,25
DR|SUS,DILUTION REQUIRED TO ANALYZE THE SAMPLE AND MDL ADJUSTED ACCORDINGLY|VALUE IS SUSPECT,2
EST,ESTIMATE,14
FSE,FALLS WITHIN STANDARD ERROR,2806
FSE|HT,FALLS WITHIN STANDARD ERROR|HOLDING TIME EXCEEDED,12
HT,HOLDING TIME EXCEEDED,1318
HT|RER,HOLDING TIME EXCEEDED|RERUN/RECHECK OF MEASUREMENT,29
HT|RER|SUS,HOLDING TIME EXCEEDED|RERUN/RECHECK OF MEASUREMENT|VALUE IS SUSPECT,2
HT|SUS,HOLDING TIME EXCEEDED|VALUE IS SUSPECT,1
OBS,FIELD OBSERVATION,2956
RER,RERUN/RECHECK OF MEASUREMENT,10
RER|SUS,RERUN/RECHECK OF MEASUREMENT|VALUE IS SUSPECT,72
SPNF,STANDARD PROCEDURE NOT FOLLOWED,192
SUS,VALUE IS SUSPECT,994
