Code,Frequency,Has_Description,Descriptions,Value_Range,Measurement_Flags,Keywords_in_Comments
DR,218,218/218,DILUTION REQUIRED TO ANALYZE THE SAMPLE AND MDL ADJUSTED ACC,"[0.00, 13.00]",{'L': 218},manually; entered
DR|FSE,3,3/3,DILUTION REQUIRED TO ANALYZE THE SAMPLE AND MDL ADJUSTED ACC,"[0.06, 2.50]",{'L': 3},[NO COMMENTS]
DR|HT,2,2/2,DILUTION REQUIRED TO ANALYZE THE SAMPLE AND MDL ADJUSTED ACC,"[0.01, 0.50]",{'L': 2},[NO COMMENTS]
DR|SPNF,25,25/25,DILUTION REQUIRED TO ANALYZE THE SAMPLE AND MDL ADJUSTED ACC,"[0.01, 0.03]",{'L': 25},[NO COMMENTS]
DR|SUS,2,2/2,DILUTION REQUIRED TO ANALYZE THE SAMPLE AND MDL ADJUSTED ACC,"[0.03, 0.03]",{'L': 2},[NO COMMENTS]
EST,14,14/14,ESTIMATE,"[2.00, 6000.00]",{'G': 14},[NO COMMENTS]
FSE,2806,2806/2806,FALLS WITHIN STANDARD ERROR,"[0.00, 50.00]",{'L': 142},[NO COMMENTS]
FSE|HT,12,12/12,FALLS WITHIN STANDARD ERROR|HOLDING TIME EXCEEDED,"[0.00, 0.57]",{'L': 2},[NO COMMENTS]
HT,1318,1318/1318,HOLDING TIME EXCEEDED,"[0.00, 16000.00]",{'L': 438},[NO COMMENTS]
HT|RER,29,29/29,HOLDING TIME EXCEEDED|RERUN/RECHECK OF MEASUREMENT,"[0.00, 210.00]",{'L': 28},[NO COMMENTS]
HT|RER|SUS,2,2/2,HOLDING TIME EXCEEDED|RERUN/RECHECK OF MEASUREMENT|VALUE IS ,"[0.00, 0.01]",{'L': 1},[NO COMMENTS]
HT|SUS,1,1/1,HOLDING TIME EXCEEDED|VALUE IS SUSPECT,"[7.82, 7.82]",{},[NO COMMENTS]
OBS,2956,2956/2956,FIELD OBSERVATION,"[0.00, 100.00]",{},[NO COMMENTS]
RER,10,10/10,RERUN/RECHECK OF MEASUREMENT,"[0.01, 460.00]",{},[NO COMMENTS]
RER|SUS,72,72/72,RERUN/RECHECK OF MEASUREMENT|VALUE IS SUSPECT,"[0.00, 5600.00]",{'L': 3},[NO COMMENTS]
SPNF,192,192/192,STANDARD PROCEDURE NOT FOLLOWED,"[0.00, 445.90]",{'L': 43},[NO COMMENTS]
SUS,994,994/994,VALUE IS SUSPECT,"[0.00, 5400.00]",{'L': 5},suspect; bottles; might
