column,method,outlier_count,outlier_percent
LatitudeDecimalDegrees,iqr,6119,2.476114939644951
LongitudeDecimalDegrees,zscore,513,0.20759061350512503
LongitudeDecimalDegrees,iqr,9297,3.762124627206915
SampleTypeCode,zscore,19107,7.731839867918955
SampleTypeCode,iqr,19259,7.793348197846399
CollectionCode,zscore,19276,7.801837535920994
CollectionCode,iqr,19276,7.801837535920994
VariableCode,iqr,58514,23.67827906167424
SampleDetectLimit,zscore,9287,6.18251294819391
SampleDetectLimit,iqr,10067,6.701772138415859
MethodDetectionLimit,zscore,4534,2.7568510850464847
MethodDetectionLimit,iqr,8526,5.184144762043743
