ProjectNumber,IssueCount,CompleteRecords,TotalRecords,CompliancePct
ABS012,488,0,488,0.0
ABS047,881,0,881,0.0
ABS142,260,0,260,0.0
ABS251,1798,0,1798,0.0
ABS254,9598,0,9598,0.0
ABS255,21219,0,21219,0.0
ABS256,29073,0,29073,0.0
ABS257,6420,0,6420,0.0
ABS258,28712,0,28712,0.0
ABS259,5606,0,5606,0.0
ABS265,1898,0,1898,0.0
ABS266,47057,0,47057,0.0
ABS267,3656,0,3656,0.0
ABS268,750,0,750,0.0
ABS270,1315,0,1315,0.0
ABSB34,4895,0,4895,0.0
ABSL34,8710,0,8710,0.0
ABSM34,9851,0,9851,0.0
ABSN34,9738,0,9738,0.0
ABSP34,7557,0,7557,0.0
ABSR34,12524,0,12524,0.0
ABSS34,15026,0,15026,0.0
ABSU34,5161,0,5161,0.0
ABSV34,7587,0,7587,0.0
ABSW34,7341,0,7341,0.0
