StationNumber,StationName,MeasurementCount,UniqueVariables,DateRangeStart,DateRangeEnd
AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",2578,62,1/12/2023 14:35,9/21/2021 8:00
AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",2609,65,1/12/2022 11:20,9/8/2021 8:00
AB07BE0010,"ATHABASCA RIVER, AT TOWN OF ATHABASCA",2544,64,1/14/2021 12:30,9/9/2020 9:16
AB07BD0010,"ATHABASCA RIVER, AT VEGA FERRY (KLONDYKE) CENTRE OF RIVER ARC KM. 893.4",2583,60,1/10/2023 14:45,9/20/2023 13:50
AB07AE0160,"ATHABASCA RIVER, AT WINDFALL BRIDGE - TRANSECT ARC KM 1066.3",488,58,10/18/2023 13:05,9/18/2023 13:00
AB07DD0105,"ATHABASCA RIVER, D/S OF DEVILS ELBOW AT WINTER ROAD CROSSING",945,60,1/12/2022 10:20,3/9/2022 10:50
AB07CC0030,"ATHABASCA RIVER, U/S FORT MCMURRAY, 100 M U/S OF CONFLUENCE WITH HORSE RIVER - TRANSECT",2612,67,1/10/2022 15:00,9/7/2021 15:00
AB05ED0100,"ATIMOSWE CREEK, AT WSC GAUGE 6 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",1781,62,10/12/2021 13:20,9/28/2022 11:10
AB05DC0070,"BAPTISTE RIVER, AT AEP GAUGE 1.2 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",3025,64,1/11/2022 14:30,9/26/2023 11:55
AB05FA0060,"BATTLE RIVER, APPROX 2 KM D/S HWY 53",2442,61,1/12/2021 10:40,9/7/2022 11:40
AB05FA0340,"BATTLE RIVER, AT NORTH END OF DRIEDMEAT LAKE",2453,60,1/12/2021 12:20,9/7/2022 10:05
AB07GE0190,"BEAR RIVER, AT CONFLUENCE WITH WAPITI RIVER - CENTRE",51,51,10/5/2023 10:10,10/5/2023 10:10
AB05CA0045,"BEARBERRY CREEK, NEAR SUNDRE (NEAR WIER) REMOTE LOGGER SITE",1219,62,10/1/2020 11:30,9/8/2020 12:30
AB05AB0100,"BEAVER CREEK, WEST OF PEIGAN INDIAN RESERVE",1332,58,10/14/2021 11:45,9/26/2023 11:35
AB06AD0130,"BEAVER RIVER, AT GRAVEL PIT, 6 KM U/S OF AB-SK BORDER",2534,60,1/18/2023 12:15,9/24/2020 11:30
AB06AC0100,"BEAVER RIVER, AT HIGHWAY 892 BRIDGE NORTH OF ARDMORE - TRANSECT",2524,61,1/18/2023 15:00,9/24/2020 13:00
AB06AD0060,"BEAVER RIVER, AT HWY 28 BRIDGE NEAR BEAVER CROSSING - TRANSECT",2529,60,1/18/2023 13:30,9/24/2020 12:13
AB07GD0070,"BEAVERLODGE RIVER, AT GRAVEL PIT",233,60,11/10/2023 11:00,8/9/2022 14:21
AB07GD0005,"BEAVERLODGE RIVER, AT TWP 734 AND RR 132",219,58,11/1/2022 10:30,8/30/2022 11:45
AB07GD0045,"BEAVERLODGE RIVER, U/S HWY 722 BRIDGE",221,60,11/1/2022 13:15,8/31/2022 11:15
AB07GD0040,"BEAVERLODGE RIVER, U/S OF BEAVERLODGE",220,60,11/1/2022 12:30,8/31/2022 9:30
AB07GD0020,"BEAVERLODGE RIVER, U/S OF BEAVERTAIL CREEK",219,58,11/1/2022 11:15,8/30/2022 12:40
AB07GD0030,"BEAVERTAIL CREEK, AT THE MOUTH",217,58,11/1/2022 12:00,8/30/2022 13:10
AB07GD0022,"BEAVERTAIL CREEK, D/S OF TWP RD 720 BRIDGE",174,58,11/9/2023 16:05,8/9/2022 15:56
AB05AD0240,"BELLY RIVER, NEAR CONFLUENCE WITH OLDMAN RIVER",2363,62,1/11/2023 10:00,9/21/2023 8:00
AB05AD0070,"BELLY RIVER, U/S OF CONFLUENCE WITH WATERTON RIVER",2360,62,1/11/2023 11:00,9/21/2023 10:05
AB07AC0015,"BERLAND RIVER, 10 KM U/S OF ATHABASCA RIVER - AT WSC GAUGE",1152,60,10/18/2023 11:30,9/29/2021 11:00
AB05CH0120,"BERRY CREEK, NEAR MOUTH",1716,63,1/21/2020 12:05,9/14/2020 11:00
AB07GE0090,"BIG MOUNTAIN CREEK, NEAR THE MOUTH",51,51,10/4/2023 11:45,10/4/2023 11:45
AB05DC0021,"BIGHORN RIVER, 5 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",2159,62,10/20/2022 12:40,9/27/2023 14:00
AB05AA0035,"BLAIRMORE CREEK, 12KM U/S CONFLUENCE WITH CROWSNEST RIVER",363,52,5/18/2022 11:30,9/15/2021 9:15
AB05AA0045,"BLAIRMORE CREEK, 1KM U/S CONFLUENCE WITH CROWSNEST RIVER",367,52,5/17/2022 17:30,9/14/2021 16:30
AB05CC0460,"BLINDMAN RIVER, NEAR THE MOUTH, AT HWY 2A BRIDGE SOUTH OF BLACKFALDS",1868,62,1/18/2021 13:30,9/9/2020 12:30
AB05BM0590,"BOW RIVER, AT CLUNY",2519,63,1/12/2023 11:00,9/8/2021 10:40
AB05BH0010,"BOW RIVER, AT COCHRANE",2480,62,1/10/2022 12:20,9/7/2022 10:00
AB05BM0010,"BOW RIVER, BELOW CARSELAND DAM",2500,63,1/12/2022 12:05,9/9/2021 10:55
AB05BN0010,"BOW RIVER, NEAR RONALANE BRIDGE",2519,63,1/17/2022 12:15,9/9/2020 11:25
AB05DD0030,"BRAZEAU RIVER, AT BRAZEAU DAM DISCHARGE",2963,65,1/11/2022 11:50,9/26/2023 9:55
AB05AH0185,"BULLSHEAD CREEK RESERVOIR, NEAR NORTH EAST INLET",260,47,1/12/2021 13:03,8/20/2020 11:55
AB05DB0010,"CLEARWATER RIVER, AT ROCKY MOUNTAIN HOUSE",3084,64,1/11/2022 15:00,9/26/2023 14:05
AB05DA0015,"CLINE RIVER, AT HWY 11",1474,62,10/20/2022 11:45,9/27/2023 13:05
AB05BN0070,"COAL CREEK, 1/2 MILE WEST OF BOW CITY",1379,58,10/10/2023 11:45,9/15/2022 10:30
AB05DF0030,"CONJURING CREEK, 4 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",2028,60,10/11/2022 15:00,9/24/2020 9:50
AB05BM0620,"CROWFOOT CREEK, ON HWY 1",1376,62,10/10/2023 13:10,9/8/2021 9:40
AB05AA0065,"CROWSNEST CREEK, 0.2KM D/S HWY 3",367,52,5/18/2022 7:50,9/15/2021 7:55
AB05AA0055,"CROWSNEST CREEK, 0.5KM U/S CONFLUENCE WITH PTOLEMY CREEK",377,52,5/18/2022 8:15,9/15/2021 7:00
AB05AA0105,"CROWSNEST RIVER, 0.6KM U/S GOLD CREEK AT WSC GAUGE",375,52,5/18/2022 6:40,9/15/2021 9:50
AB05AA0110,"CROWSNEST RIVER, ABOVE BELLEVUE",377,52,5/17/2022 16:50,9/15/2021 10:20
AB05AA0090,"CROWSNEST RIVER, ABOVE COLEMAN",369,52,5/18/2022 7:15,9/15/2021 8:30
AB05BM0585,"EAST ARROWWOOD CREEK, NEAR THE MOUTH",1280,58,10/18/2022 11:45,9/8/2020 12:00
AB05BJ0450,"ELBOW RIVER, AT 9TH AVE BRIDGE",2496,63,1/10/2022 14:10,9/7/2022 12:40
AB06AC0150,"ETHEL LAKE (NEAR COLD LAKE), INLET FROM HILDA LAKE",436,54,10/14/2020 13:30,9/15/2020 18:10
AB06AC0160,"ETHEL LAKE (NEAR COLD LAKE), INLET FROM MARIE LAKE",851,57,1/20/2021 13:00,9/15/2020 17:15
AB05AG0140,"EXPANSE COULEE, ADJACENT TO HWY 36 BRIDGE CROSSING OLDMAN RIVER",1539,58,10/17/2023 10:40,9/28/2021 11:10
AB05CA0015,"FALLEN TIMBER CREEK, NEAR MOUTH",1229,62,10/1/2020 13:40,9/8/2020 11:00
AB05BK0070,"FISH CREEK, #8 NEAR THE MOUTH NE 1/4-25-22-1-W5",2193,62,1/11/2022 13:55,9/9/2021 12:50
AB05CG0032,"FISH CREEK, AT HIGHWAY 851",467,54,1/15/2021 10:00,9/16/2020 11:15
AB05BG0090,"GHOST RIVER, ABOVE CONFLUENCE WITH WAIPAROUS CREEK",2183,60,1/10/2022 9:40,9/7/2022 8:40
AB05AA1270,"GOLD CREEK, U/S OF HWY 3 BRIDGE",370,52,5/17/2022 17:15,9/14/2021 16:00
AB05BL0490,"HIGHWOOD RIVER, AT HWY 552",2187,62,1/12/2021 12:30,9/9/2021 9:50
AB05BL0210,"HIGHWOOD RIVER, D/S OF HIGH RIVER AT BEND IN BACK ROAD TO HIGH RIVER",2207,62,1/12/2021 11:40,9/9/2021 8:55
AB05CA0090,"JAMES RIVER, NEAR JAMES RIVER BRIDGE",1221,62,10/1/2020 12:10,9/8/2020 13:30
AB05BH0040,"JUMPINGPOUND CREEK, NEAR MOUTH",1978,62,1/10/2023 11:00,9/7/2022 10:30
AB05CE0690,"KNEEHILLS CREEK, NEAR THE MOUTH AT HWY 575",1443,62,1/19/2021 12:10,9/8/2022 13:20
AB07BK0125,"LESSER SLAVE RIVER, 9.5 KM U/S OF ATHABASCA RIVER CONFLUENCE",1744,58,1/10/2023 11:25,9/20/2023 11:00
AB05AC0190,"LITTLE BOW RIVER, AT CARMANGAY",2357,62,1/13/2022 10:58,9/27/2021 12:30
AB05AC0100,"LITTLE BOW RIVER, AT HWY 533 EAST OF NANTON",1544,62,10/18/2021 9:25,9/27/2021 10:25
AB05AC0175,"LITTLE BOW RIVER, D/S OF TWIN VALLEY RESERVOIR",2345,61,1/13/2022 10:03,9/27/2021 11:40
AB05AC0320,"LITTLE BOW RIVER, NEAR THE MOUTH",2325,62,1/19/2021 9:00,9/28/2021 12:20
AB05CB0270,"LITTLE RED DEER RIVER, WEST OF INNISFAIL",1895,62,1/18/2021 12:30,9/9/2020 8:45
AB05CJ0030,"MATZHIWIN CREEK, AT HWY 36",1123,62,10/12/2022 13:25,9/14/2020 10:00
AB07AG0345,"MCLEOD RIVER, AT WSC GAUGE 4.5KM U/S OF THE CONFLUENCE WITH GROAT CREEK",1216,60,10/18/2023 14:20,9/29/2021 13:40
AB05CC0100,"MEDICINE RIVER, AT HWY 54",1880,62,1/18/2021 11:45,9/9/2020 10:00
AB05CE0700,"MICHICHI CREEK, NEAR THE MOUTH",620,57,3/4/2021 12:00,7/28/2020 11:05
AB07AA0007,"MIETTE RIVER, AT WSC GAUGE AT HWY 16",1772,58,1/12/2023 12:40,9/20/2021 15:20
