StationNumber,Station,Latitude,Longitude,TotalMeasurements,UniqueVariables,UniqueSamples,UniqueProjects,DateRangeStart,DateRangeEnd,YearsOfData,VariableList,CoverageLevel,VariableDiversityPct
AB05DB0010,"CLEARWATER RIVER, AT ROCKY MOUNTAIN HOUSE",52.34444,-114.93611,3084,64,56,1,1/11/2022 15:00,9/26/2023 14:05,4,"ALGAE COVER, ALKALINITY PHENOLPHTHALEIN CACO3, ALKALINITY TOTAL CACO3, AMMONIA TOTAL, BICARBONATE (CALCD.), CALCIUM DISSOLVED/FILTERED, CARBON DISSOLVED ORGANIC (DOC), CARBON TOTAL ORGANIC (TOC), CARBONATE (CALCD.), CHLORIDE DISSOLVED, CHLOROPHYLL A, CLOUD COVER, COLIFORMS FECAL, COLOUR (VISUAL) AT SITE, COLOUR TRUE, ESCHERICHIA COLI, FLOW, ESTIMATE, FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD), FLUORIDE DISSOLVED, FOAM (VISUAL) AT SITE, HARDNESS TOTAL CACO3 (CALCD.), HYDROGEN-2 (DEUTERIUM) IN WATER, HYDROXIDE (CALCD.), ICE COVER, ICE THICKNESS, ESTIMATE, IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.), IRON DISSOLVED, MACROPHYTE COVER, MAGNESIUM DISSOLVED/FILTERED, MANGANESE DISSOLVED, NITROGEN DISSOLVED KJELDAHL (DKN), NITROGEN NITRATE, NITROGEN NITRITE, NITROGEN NO3 & NO2, NITROGEN TOTAL (CALCD.), NITROGEN TOTAL KJELDAHL (TKN), ODOUR APPARENT IN SAMPLE, OXYGEN DISSOLVED (FIELD METER), OXYGEN-18 IN WATER, PH (FIELD), PH (LAB), PHOSPHATE DISSOLVED ORTHO, PHOSPHORUS TOTAL (P), PHOSPHORUS TOTAL DISSOLVED, POTASSIUM DISSOLVED/FILTERED, REDOX POTENTIAL, RESIDUE FILTERABLE, RESIDUE NONFILTERABLE, SAMPLING DISTANCE FROM LEFT BANK, SNOW COVER IN IMMEDIATE AREA, SNOW COVER ON ICE, SNOW DEPTH ON ICE, ESTIMATE, SODIUM DISSOLVED/FILTERED, SPECIFIC CONDUCTANCE (FIELD), SPECIFIC CONDUCTANCE (LAB), SULPHATE DISSOLVED, SUM OF ANIONS, SUM OF CATIONS, TEMPERATURE AIR, TEMPERATURE WATER, TOTAL DISSOLVED SOLIDS (CALCD.), TURBIDITY, TURBIDITY (VISUAL) AT SITE, WATER DEPTH, ESTIMATE",Comprehensive (12+ vars),78.04878048780488
AB05DC0040,"RAM RIVER, AT AEP GAUGE 2 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",52.36833,-115.42028,3073,64,56,1,1/11/2022 17:00,9/26/2023 13:20,4,"ALGAE COVER, ALKALINITY PHENOLPHTHALEIN CACO3, ALKALINITY TOTAL CACO3, AMMONIA TOTAL, BICARBONATE (CALCD.), CALCIUM DISSOLVED/FILTERED, CARBON DISSOLVED ORGANIC (DOC), CARBON TOTAL ORGANIC (TOC), CARBONATE (CALCD.), CHLORIDE DISSOLVED, CHLOROPHYLL A, CLOUD COVER, COLIFORMS FECAL, COLOUR (VISUAL) AT SITE, COLOUR TRUE, ESCHERICHIA COLI, FLOW, ESTIMATE, FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD), FLUORIDE DISSOLVED, FOAM (VISUAL) AT SITE, HARDNESS TOTAL CACO3 (CALCD.), HYDROGEN-2 (DEUTERIUM) IN WATER, HYDROXIDE (CALCD.), ICE COVER, ICE THICKNESS, ESTIMATE, IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.), IRON DISSOLVED, MACROPHYTE COVER, MAGNESIUM DISSOLVED/FILTERED, MANGANESE DISSOLVED, NITROGEN DISSOLVED KJELDAHL (DKN), NITROGEN NITRATE, NITROGEN NITRITE, NITROGEN NO3 & NO2, NITROGEN TOTAL (CALCD.), NITROGEN TOTAL KJELDAHL (TKN), ODOUR APPARENT IN SAMPLE, OXYGEN DISSOLVED (FIELD METER), OXYGEN-18 IN WATER, PH (FIELD), PH (LAB), PHOSPHATE DISSOLVED ORTHO, PHOSPHORUS TOTAL (P), PHOSPHORUS TOTAL DISSOLVED, POTASSIUM DISSOLVED/FILTERED, REDOX POTENTIAL, RESIDUE FILTERABLE, RESIDUE NONFILTERABLE, SAMPLING DISTANCE FROM LEFT BANK, SNOW COVER IN IMMEDIATE AREA, SNOW COVER ON ICE, SNOW DEPTH ON ICE, ESTIMATE, SODIUM DISSOLVED/FILTERED, SPECIFIC CONDUCTANCE (FIELD), SPECIFIC CONDUCTANCE (LAB), SULPHATE DISSOLVED, SUM OF ANIONS, SUM OF CATIONS, TEMPERATURE AIR, TEMPERATURE WATER, TOTAL DISSOLVED SOLIDS (CALCD.), TURBIDITY, TURBIDITY (VISUAL) AT SITE, WATER DEPTH, ESTIMATE",Comprehensive (12+ vars),78.04878048780488
AB05DD0200,"NORDEGG RIVER, AT WSC GAUGE 36 KM U/S CONFLUENCE WITH BRAZEAU RIVER",52.81917,-115.51306,3044,63,55,1,1/11/2022 12:00,9/26/2023 10:25,4,"ALKALINITY PHENOLPHTHALEIN CACO3, ALKALINITY TOTAL CACO3, AMMONIA TOTAL, BICARBONATE (CALCD.), CALCIUM DISSOLVED/FILTERED, CARBON DISSOLVED ORGANIC (DOC), CARBON TOTAL ORGANIC (TOC), CARBONATE (CALCD.), CHLORIDE DISSOLVED, CHLOROPHYLL A, CLOUD COVER, COLIFORMS FECAL, COLOUR (VISUAL) AT SITE, COLOUR TRUE, ESCHERICHIA COLI, FLOW, ESTIMATE, FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD), FLUORIDE DISSOLVED, FOAM (VISUAL) AT SITE, HARDNESS TOTAL CACO3 (CALCD.), HYDROGEN-2 (DEUTERIUM) IN WATER, HYDROXIDE (CALCD.), ICE COVER, ICE THICKNESS, ESTIMATE, IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.), IRON DISSOLVED, MAGNESIUM DISSOLVED/FILTERED, MANGANESE DISSOLVED, NITROGEN DISSOLVED KJELDAHL (DKN), NITROGEN NITRATE, NITROGEN NITRITE, NITROGEN NO3 & NO2, NITROGEN TOTAL (CALCD.), NITROGEN TOTAL KJELDAHL (TKN), ODOUR APPARENT IN SAMPLE, OXYGEN DISSOLVED (FIELD METER), OXYGEN-18 IN WATER, PH (FIELD), PH (LAB), PHOSPHATE DISSOLVED ORTHO, PHOSPHORUS TOTAL (P), PHOSPHORUS TOTAL DISSOLVED, POTASSIUM DISSOLVED/FILTERED, REDOX POTENTIAL, RESIDUE FILTERABLE, RESIDUE NONFILTERABLE, SAMPLING DISTANCE FROM LEFT BANK, SNOW COVER IN IMMEDIATE AREA, SNOW COVER ON ICE, SNOW DEPTH ON ICE, ESTIMATE, SODIUM DISSOLVED/FILTERED, SPECIFIC CONDUCTANCE (FIELD), SPECIFIC CONDUCTANCE (LAB), SULPHATE DISSOLVED, SUM OF ANIONS, SUM OF CATIONS, TEMPERATURE AIR, TEMPERATURE WATER, TOTAL DISSOLVED SOLIDS (CALCD.), TURBIDITY, TURBIDITY (VISUAL) AT SITE, UV TRANSMITTANCE (254NM), WATER DEPTH, ESTIMATE",Comprehensive (12+ vars),76.82926829268293
AB05DC0070,"BAPTISTE RIVER, AT AEP GAUGE 1.2 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",52.66389,-115.07611,3025,64,55,1,1/11/2022 14:30,9/26/2023 11:55,4,"ALGAE COVER, ALKALINITY PHENOLPHTHALEIN CACO3, ALKALINITY TOTAL CACO3, AMMONIA TOTAL, BICARBONATE (CALCD.), CALCIUM DISSOLVED/FILTERED, CARBON DISSOLVED ORGANIC (DOC), CARBON TOTAL ORGANIC (TOC), CARBONATE (CALCD.), CHLORIDE DISSOLVED, CHLOROPHYLL A, CLOUD COVER, COLIFORMS FECAL, COLOUR (VISUAL) AT SITE, COLOUR TRUE, ESCHERICHIA COLI, FLOW, ESTIMATE, FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD), FLUORIDE DISSOLVED, FOAM (VISUAL) AT SITE, HARDNESS TOTAL CACO3 (CALCD.), HYDROGEN-2 (DEUTERIUM) IN WATER, HYDROXIDE (CALCD.), ICE COVER, ICE THICKNESS, ESTIMATE, IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.), IRON DISSOLVED, MACROPHYTE COVER, MAGNESIUM DISSOLVED/FILTERED, MANGANESE DISSOLVED, NITROGEN DISSOLVED KJELDAHL (DKN), NITROGEN NITRATE, NITROGEN NITRITE, NITROGEN NO3 & NO2, NITROGEN TOTAL (CALCD.), NITROGEN TOTAL KJELDAHL (TKN), ODOUR APPARENT IN SAMPLE, OXYGEN DISSOLVED (FIELD METER), OXYGEN-18 IN WATER, PH (FIELD), PH (LAB), PHOSPHATE DISSOLVED ORTHO, PHOSPHORUS TOTAL (P), PHOSPHORUS TOTAL DISSOLVED, POTASSIUM DISSOLVED/FILTERED, REDOX POTENTIAL, RESIDUE FILTERABLE, RESIDUE NONFILTERABLE, SAMPLING DISTANCE FROM LEFT BANK, SNOW COVER IN IMMEDIATE AREA, SNOW COVER ON ICE, SNOW DEPTH ON ICE, ESTIMATE, SODIUM DISSOLVED/FILTERED, SPECIFIC CONDUCTANCE (FIELD), SPECIFIC CONDUCTANCE (LAB), SULPHATE DISSOLVED, SUM OF ANIONS, SUM OF CATIONS, TEMPERATURE AIR, TEMPERATURE WATER, TOTAL DISSOLVED SOLIDS (CALCD.), TURBIDITY, TURBIDITY (VISUAL) AT SITE, WATER DEPTH, ESTIMATE",Comprehensive (12+ vars),78.04878048780488
AB05DA0010,"NORTH SASKATCHEWAN RIVER, AT WSC GAUGE (AT WHIRLPOOL POINT)",52.00167,-116.47306,2968,62,54,1,1/12/2022 10:30,9/27/2023 10:30,4,"ALKALINITY PHENOLPHTHALEIN CACO3, ALKALINITY TOTAL CACO3, AMMONIA TOTAL, BICARBONATE (CALCD.), CALCIUM DISSOLVED/FILTERED, CARBON DISSOLVED ORGANIC (DOC), CARBON TOTAL ORGANIC (TOC), CARBONATE (CALCD.), CHLORIDE DISSOLVED, CHLOROPHYLL A, CLOUD COVER, COLIFORMS FECAL, COLOUR (VISUAL) AT SITE, COLOUR TRUE, ESCHERICHIA COLI, FLOW, ESTIMATE, FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD), FLUORIDE DISSOLVED, FOAM (VISUAL) AT SITE, HARDNESS TOTAL CACO3 (CALCD.), HYDROGEN-2 (DEUTERIUM) IN WATER, HYDROXIDE (CALCD.), ICE COVER, ICE THICKNESS, ESTIMATE, IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.), IRON DISSOLVED, MAGNESIUM DISSOLVED/FILTERED, MANGANESE DISSOLVED, NITROGEN DISSOLVED KJELDAHL (DKN), NITROGEN NITRATE, NITROGEN NITRITE, NITROGEN NO3 & NO2, NITROGEN TOTAL (CALCD.), NITROGEN TOTAL KJELDAHL (TKN), ODOUR APPARENT IN SAMPLE, OXYGEN DISSOLVED (FIELD METER), OXYGEN-18 IN WATER, PH (FIELD), PH (LAB), PHOSPHATE DISSOLVED ORTHO, PHOSPHORUS TOTAL (P), PHOSPHORUS TOTAL DISSOLVED, POTASSIUM DISSOLVED/FILTERED, REDOX POTENTIAL, RESIDUE FILTERABLE, RESIDUE NONFILTERABLE, SAMPLING DISTANCE FROM LEFT BANK, SNOW COVER IN IMMEDIATE AREA, SNOW COVER ON ICE, SNOW DEPTH ON ICE, ESTIMATE, SODIUM DISSOLVED/FILTERED, SPECIFIC CONDUCTANCE (FIELD), SPECIFIC CONDUCTANCE (LAB), SULPHATE DISSOLVED, SUM OF ANIONS, SUM OF CATIONS, TEMPERATURE AIR, TEMPERATURE WATER, TOTAL DISSOLVED SOLIDS (CALCD.), TURBIDITY, TURBIDITY (VISUAL) AT SITE, WATER DEPTH, ESTIMATE",Comprehensive (12+ vars),75.60975609756098
AB05DD0030,"BRAZEAU RIVER, AT BRAZEAU DAM DISCHARGE",52.9125,-115.35556,2963,65,54,1,1/11/2022 11:50,9/26/2023 9:55,4,"ALGAE COVER, ALKALINITY PHENOLPHTHALEIN CACO3, ALKALINITY TOTAL CACO3, AMMONIA TOTAL, BICARBONATE (CALCD.), CALCIUM DISSOLVED/FILTERED, CARBON DISSOLVED ORGANIC (DOC), CARBON TOTAL ORGANIC (TOC), CARBONATE (CALCD.), CHLORIDE DISSOLVED, CHLOROPHYLL A, CLOUD COVER, COLIFORMS FECAL, COLOUR (VISUAL) AT SITE, COLOUR TRUE, ESCHERICHIA COLI, FLOW, ESTIMATE, FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD), FLUORIDE DISSOLVED, FOAM (VISUAL) AT SITE, HARDNESS TOTAL CACO3 (CALCD.), HYDROGEN-2 (DEUTERIUM) IN WATER, HYDROXIDE (CALCD.), ICE COVER, ICE THICKNESS, ESTIMATE, IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.), IRON DISSOLVED, MACROPHYTE COVER, MAGNESIUM DISSOLVED/FILTERED, MANGANESE DISSOLVED, NITROGEN DISSOLVED KJELDAHL (DKN), NITROGEN NITRATE, NITROGEN NITRITE, NITROGEN NO3 & NO2, NITROGEN TOTAL (CALCD.), NITROGEN TOTAL KJELDAHL (TKN), ODOUR APPARENT IN SAMPLE, OXYGEN DISSOLVED (FIELD METER), OXYGEN-18 IN WATER, PH (FIELD), PH (LAB), PHOSPHATE DISSOLVED ORTHO, PHOSPHORUS TOTAL (P), PHOSPHORUS TOTAL DISSOLVED, POTASSIUM DISSOLVED/FILTERED, REDOX POTENTIAL, RESIDUE FILTERABLE, RESIDUE NONFILTERABLE, SAMPLING DISTANCE FROM LEFT BANK, SNOW COVER IN IMMEDIATE AREA, SNOW COVER ON ICE, SNOW DEPTH ON ICE, ESTIMATE, SODIUM DISSOLVED/FILTERED, SPECIFIC CONDUCTANCE (FIELD), SPECIFIC CONDUCTANCE (LAB), SULPHATE DISSOLVED, SUM OF ANIONS, SUM OF CATIONS, TEMPERATURE AIR, TEMPERATURE WATER, TOTAL DISSOLVED SOLIDS (CALCD.), TURBIDITY, TURBIDITY (VISUAL) AT SITE, UV TRANSMITTANCE (254NM), WATER DEPTH, ESTIMATE",Comprehensive (12+ vars),79.26829268292683
AB05DF0020,"STRAWBERRY CREEK, AT WSC GAUGE 4 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",53.31111,-114.05139,2681,62,49,1,10/11/2022 13:40,9/27/2022 13:25,4,"ALKALINITY PHENOLPHTHALEIN CACO3, ALKALINITY TOTAL CACO3, AMMONIA TOTAL, BICARBONATE (CALCD.), CALCIUM DISSOLVED/FILTERED, CARBON DISSOLVED ORGANIC (DOC), CARBON TOTAL ORGANIC (TOC), CARBONATE (CALCD.), CHLORIDE DISSOLVED, CHLOROPHYLL A, CLOUD COVER, COLIFORMS FECAL, COLOUR (VISUAL) AT SITE, COLOUR TRUE, ESCHERICHIA COLI, FLOW, ESTIMATE, FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD), FLUORIDE DISSOLVED, FOAM (VISUAL) AT SITE, HARDNESS TOTAL CACO3 (CALCD.), HYDROGEN-2 (DEUTERIUM) IN WATER, HYDROXIDE (CALCD.), ICE COVER, ICE THICKNESS, ESTIMATE, IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.), IRON DISSOLVED, MAGNESIUM DISSOLVED/FILTERED, MANGANESE DISSOLVED, NITROGEN DISSOLVED KJELDAHL (DKN), NITROGEN NITRATE, NITROGEN NITRITE, NITROGEN NO3 & NO2, NITROGEN TOTAL (CALCD.), NITROGEN TOTAL KJELDAHL (TKN), ODOUR APPARENT IN SAMPLE, OXYGEN DISSOLVED (FIELD METER), OXYGEN-18 IN WATER, PH (FIELD), PH (LAB), PHOSPHATE DISSOLVED ORTHO, PHOSPHORUS TOTAL (P), PHOSPHORUS TOTAL DISSOLVED, POTASSIUM DISSOLVED/FILTERED, REDOX POTENTIAL, RESIDUE FILTERABLE, RESIDUE NONFILTERABLE, SAMPLING DISTANCE FROM LEFT BANK, SNOW COVER IN IMMEDIATE AREA, SNOW COVER ON ICE, SNOW DEPTH ON ICE, ESTIMATE, SODIUM DISSOLVED/FILTERED, SPECIFIC CONDUCTANCE (FIELD), SPECIFIC CONDUCTANCE (LAB), SULPHATE DISSOLVED, SUM OF ANIONS, SUM OF CATIONS, TEMPERATURE AIR, TEMPERATURE WATER, TOTAL DISSOLVED SOLIDS (CALCD.), TURBIDITY, TURBIDITY (VISUAL) AT SITE, WATER DEPTH, ESTIMATE",Comprehensive (12+ vars),75.60975609756098
AB07CC0030,"ATHABASCA RIVER, U/S FORT MCMURRAY, 100 M U/S OF CONFLUENCE WITH HORSE RIVER - TRANSECT",56.72028,-111.40556,2612,67,46,1,1/10/2022 15:00,9/7/2021 15:00,4,"ALKALINITY PHENOLPHTHALEIN CACO3, ALKALINITY TOTAL CACO3, AMMONIA DISSOLVED, AMMONIA TOTAL, BICARBONATE (CALCD.), CALCIUM DISSOLVED/FILTERED, CARBON DISSOLVED INORGANIC (DIC), CARBON DISSOLVED ORGANIC (DOC), CARBON DISULFIDE, CARBON TOTAL ORGANIC (TOC), CARBONATE (CALCD.), CHLORIDE DISSOLVED, CHLOROPHYLL A, CLOUD COVER, COLIFORMS FECAL, COLOUR (VISUAL) AT SITE, COLOUR TRUE, CYANIDE TOTAL, ESCHERICHIA COLI, FLOW, ESTIMATE, FOAM (VISUAL) AT SITE, FORMALDEHYDE TOTAL, HARDNESS TOTAL CACO3 (CALCD.), HYDROGEN-2 (DEUTERIUM) IN WATER, HYDROXIDE (CALCD.), ICE COVER, ICE THICKNESS, ESTIMATE, IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.), IRON DISSOLVED, MAGNESIUM DISSOLVED/FILTERED, MANGANESE DISSOLVED, NITRILOTRIACETIC ACID (NTA), NITROGEN DISSOLVED KJELDAHL (DKN), NITROGEN NITRATE, NITROGEN NITRITE, NITROGEN NO3 & NO2, NITROGEN TOTAL (CALCD.), NITROGEN TOTAL KJELDAHL (TKN), ODOUR APPARENT IN SAMPLE, OXYGEN DISSOLVED (FIELD METER), OXYGEN-18 IN WATER, PH (FIELD), PH (LAB), PHENOLIC MATERIAL, PHOSPHATE DISSOLVED ORTHO, PHOSPHORUS TOTAL (P), PHOSPHORUS TOTAL DISSOLVED, POTASSIUM DISSOLVED/FILTERED, REDOX POTENTIAL, RESIDUE FILTERABLE, RESIDUE NONFILTERABLE, SAMPLING DISTANCE FROM LEFT BANK, SNOW COVER IN IMMEDIATE AREA, SNOW COVER ON ICE, SNOW DEPTH ON ICE, ESTIMATE, SODIUM DISSOLVED/FILTERED, SPECIFIC CONDUCTANCE (FIELD), SPECIFIC CONDUCTANCE (LAB), SULPHATE DISSOLVED, SUM OF ANIONS, SUM OF CATIONS, TEMPERATURE AIR, TEMPERATURE WATER, TOTAL DISSOLVED SOLIDS (CALCD.), TURBIDITY, TURBIDITY (VISUAL) AT SITE, WATER DEPTH, ESTIMATE",Comprehensive (12+ vars),81.70731707317073
AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,2609,65,46,1,1/12/2022 11:20,9/8/2021 8:00,4,"ALKALINITY PHENOLPHTHALEIN CACO3, ALKALINITY TOTAL CACO3, AMMONIA TOTAL, BICARBONATE (CALCD.), CALCIUM DISSOLVED/FILTERED, CARBON DISSOLVED ORGANIC (DOC), CARBON DISULFIDE, CARBON TOTAL ORGANIC (TOC), CARBONATE (CALCD.), CHLORIDE DISSOLVED, CHLOROPHYLL A, CLOUD COVER, COLIFORMS FECAL, COLOUR (VISUAL) AT SITE, COLOUR TRUE, CYANIDE TOTAL, ESCHERICHIA COLI, FLOW, ESTIMATE, FOAM (VISUAL) AT SITE, FORMALDEHYDE TOTAL, HARDNESS TOTAL CACO3 (CALCD.), HYDROGEN-2 (DEUTERIUM) IN WATER, HYDROXIDE (CALCD.), ICE COVER, ICE THICKNESS, ESTIMATE, IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.), IRON DISSOLVED, MAGNESIUM DISSOLVED/FILTERED, MANGANESE DISSOLVED, NITRILOTRIACETIC ACID (NTA), NITROGEN DISSOLVED KJELDAHL (DKN), NITROGEN NITRATE, NITROGEN NITRITE, NITROGEN NO3 & NO2, NITROGEN TOTAL (CALCD.), NITROGEN TOTAL KJELDAHL (TKN), ODOUR APPARENT IN SAMPLE, OXYGEN DISSOLVED (FIELD METER), OXYGEN-18 IN WATER, PH (FIELD), PH (LAB), PHENOLIC MATERIAL, PHOSPHATE DISSOLVED ORTHO, PHOSPHORUS TOTAL (P), PHOSPHORUS TOTAL DISSOLVED, POTASSIUM DISSOLVED/FILTERED, REDOX POTENTIAL, RESIDUE FILTERABLE, RESIDUE NONFILTERABLE, SAMPLING DISTANCE FROM LEFT BANK, SNOW COVER IN IMMEDIATE AREA, SNOW COVER ON ICE, SNOW DEPTH ON ICE, ESTIMATE, SODIUM DISSOLVED/FILTERED, SPECIFIC CONDUCTANCE (FIELD), SPECIFIC CONDUCTANCE (LAB), SULPHATE DISSOLVED, SUM OF ANIONS, SUM OF CATIONS, TEMPERATURE AIR, TEMPERATURE WATER, TOTAL DISSOLVED SOLIDS (CALCD.), TURBIDITY, TURBIDITY (VISUAL) AT SITE, WATER DEPTH, ESTIMATE",Comprehensive (12+ vars),79.26829268292683
AB05EC0010,"NORTH SASKATCHEWAN RIVER, AT PAKAN BRIDGE",53.99092,-112.47592,2588,62,51,2,1/12/2023 11:10,9/8/2022 11:00,4,"ALKALINITY PHENOLPHTHALEIN CACO3, ALKALINITY TOTAL CACO3, AMMONIA TOTAL, BICARBONATE (CALCD.), CALCIUM DISSOLVED/FILTERED, CARBON DISSOLVED ORGANIC (DOC), CARBON TOTAL ORGANIC (TOC), CARBONATE (CALCD.), CHLORIDE DISSOLVED, CHLOROPHYLL A, CLOUD COVER, COLIFORMS FECAL, COLOUR (VISUAL) AT SITE, COLOUR TRUE, ESCHERICHIA COLI, FLOW, ESTIMATE, FLUORIDE DISSOLVED, FOAM (VISUAL) AT SITE, HARDNESS TOTAL CACO3 (CALCD.), HYDROGEN-2 (DEUTERIUM) IN WATER, HYDROXIDE (CALCD.), ICE COVER, ICE THICKNESS, ESTIMATE, IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.), IRON DISSOLVED, MAGNESIUM DISSOLVED/FILTERED, MANGANESE DISSOLVED, NITROGEN DISSOLVED KJELDAHL (DKN), NITROGEN NITRATE, NITROGEN NITRITE, NITROGEN NO3 & NO2, NITROGEN TOTAL (CALCD.), NITROGEN TOTAL KJELDAHL (TKN), ODOUR APPARENT IN SAMPLE, OXYGEN DISSOLVED (FIELD METER), OXYGEN-18 IN WATER, PH (FIELD), PH (LAB), PHOSPHATE DISSOLVED ORTHO, PHOSPHORUS TOTAL (P), PHOSPHORUS TOTAL DISSOLVED, POTASSIUM DISSOLVED/FILTERED, REDOX POTENTIAL, RESIDUE FILTERABLE, RESIDUE NONFILTERABLE, RIVER WIDTH, SAMPLING DISTANCE FROM LEFT BANK, SNOW COVER IN IMMEDIATE AREA, SNOW COVER ON ICE, SNOW DEPTH ON ICE, ESTIMATE, SODIUM DISSOLVED/FILTERED, SPECIFIC CONDUCTANCE (FIELD), SPECIFIC CONDUCTANCE (LAB), SULPHATE DISSOLVED, SUM OF ANIONS, SUM OF CATIONS, TEMPERATURE AIR, TEMPERATURE WATER, TOTAL DISSOLVED SOLIDS (CALCD.), TURBIDITY, TURBIDITY (VISUAL) AT SITE, WATER DEPTH, ESTIMATE",Comprehensive (12+ vars),75.60975609756098
