VariableName,TotalMeasurements,StationCount
RESIDUE NONFILTERABLE,4580,173
AMMONIA TOTAL,4579,173
NITROGEN TOTAL KJELDAHL (TKN),4579,173
PHOSPHORUS TOTAL (P),4579,173
CARBON DISSOLVED ORGANIC (DOC),4578,173
CALCIUM DISSOLVED/FILTERED,4578,173
CHLORIDE DISSOLVED,4578,173
ALKALINITY TOTAL CACO3,4578,173
BICARBONATE (CALCD.),4578,173
NITROGEN NO3 & NO2,4578,173
HYDROXIDE (CALCD.),4578,173
IRON DISSOLVED,4578,173
NITROGEN NITRATE,4578,173
MANGANESE DISSOLVED,4578,173
HARDNESS TOTAL CACO3 (CALCD.),4578,173
CARBONATE (CALCD.),4578,173
SPECIFIC CONDUCTANCE (LAB),4578,173
ALKALINITY PHENOLPHTHALEIN CACO3,4578,173
SODIUM DISSOLVED/FILTERED,4578,173
TOTAL DISSOLVED SOLIDS (CALCD.),4578,173
SULPHATE DISSOLVED,4578,173
POTASSIUM DISSOLVED/FILTERED,4578,173
PH (LAB),4578,173
PHOSPHORUS TOTAL DISSOLVED,4578,173
MAGNESIUM DISSOLVED/FILTERED,4578,173
NITROGEN NITRITE,4578,173
NITROGEN TOTAL (CALCD.),4577,173
OXYGEN DISSOLVED (FIELD METER),4555,170
TEMPERATURE WATER,4554,170
SPECIFIC CONDUCTANCE (FIELD),4547,170
PHOSPHATE DISSOLVED ORTHO,4546,171
PH (FIELD),4539,170
NITROGEN DISSOLVED KJELDAHL (DKN),4538,171
TURBIDITY,4534,168
RESIDUE FILTERABLE,4534,168
FOAM (VISUAL) AT SITE,4519,170
"FLOW, ESTIMATE",4515,170
TURBIDITY (VISUAL) AT SITE,4507,170
COLOUR (VISUAL) AT SITE,4499,170
ODOUR APPARENT IN SAMPLE,4492,169
IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.),4457,172
CLOUD COVER,4443,170
CARBON TOTAL ORGANIC (TOC),4434,171
TEMPERATURE AIR,4363,162
SUM OF ANIONS,4306,173
SUM OF CATIONS,4306,173
COLIFORMS FECAL,4287,138
ESCHERICHIA COLI,4287,138
COLOUR TRUE,3990,168
SAMPLING DISTANCE FROM LEFT BANK,3985,162
CHLOROPHYLL A,3926,143
REDOX POTENTIAL,2362,160
HYDROGEN-2 (DEUTERIUM) IN WATER,1962,122
OXYGEN-18 IN WATER,1962,122
MACROPHYTE COVER,1629,89
ALGAE COVER,1549,88
"WATER DEPTH, ESTIMATE",1485,129
SNOW COVER IN IMMEDIATE AREA,1437,131
ICE COVER,1434,132
SNOW COVER ON ICE,993,115
"ICE THICKNESS, ESTIMATE",948,117
"SNOW DEPTH ON ICE, ESTIMATE",904,109
FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD),418,20
FLUORIDE DISSOLVED,370,25
SODIUM ADSORPTION RATIO (CALCD.),198,21
RIVER WIDTH,56,6
CARBON DISSOLVED INORGANIC (DIC),47,7
SILICA REACTIVE,46,6
UV TRANSMITTANCE (254NM),16,2
AMMONIA DISSOLVED,15,4
CARBON DISULFIDE,2,2
CYANIDE TOTAL,2,2
FORMALDEHYDE TOTAL,2,2
NITRILOTRIACETIC ACID (NTA),2,2
PHENOLIC MATERIAL,2,2
OXYGEN TOTAL COD,1,1
LATITUDE,1,1
IONIC BALANCE DIFFERENCE (CALCD.),1,1
HYDROGEN SULPHIDE H2S,1,1
LONGITUDE,1,1
SULPHIDE,1,1
TANNIN AND LIGNIN LIG. SULPH.,1,1
