VmvCode,VariableCode,VariableName,MethodCode,UniquUnits,UniqueMDLs,RecordCount,UnitCount,MDLCount,IsConsistent
14,612,NITROGEN NITRITE,180,mg/L,0.005,64,1,1,True
120,830,SUM OF CATIONS,4,meq/L,nan,4306,1,1,True
125,829,SUM OF ANIONS,4,meq/L,nan,4306,1,1,True
201,837,TOTAL DISSOLVED SOLIDS (CALCD.),8,mg/L,nan,4578,1,1,True
244,3480,UV TRANSMITTANCE (254NM),109,% T/cm,0.0,16,1,1,True
1592,364,ALKALINITY TOTAL CACO3,620,mg/L,0.5,4578,1,1,True
1593,366,ALKALINITY PHENOLPHTHALEIN CACO3,620,mg/L,0.5,4578,1,1,True
1594,545,BICARBONATE (CALCD.),620,mg/L,0.5,4578,1,1,True
1595,431,CARBONATE (CALCD.),620,mg/L,0.5,4578,1,1,True
1596,641,HYDROXIDE (CALCD.),620,mg/L,0.5,4578,1,1,True
1599,814,SULPHATE DISSOLVED,405,mg/L,1.0,4578,1,1,True
1717,428,CYANIDE TOTAL,638,mg/L,0.0005,2,1,1,True
2002,864,TURBIDITY,409,NTU,0.1,4534,1,1,True
2003,426,CHLORIDE DISSOLVED,426,mg/L,1.0,4578,1,1,True
2004,745,RESIDUE FILTERABLE,427,mg/L,10.0,4534,1,1,True
2005,749,RESIDUE NONFILTERABLE,430,mg/L,1.0,4580,1,1,True
2006,604,AMMONIA DISSOLVED,439,mg/L,0.05,15,1,1,True
2007,605,AMMONIA TOTAL,439,mg/L,0.05,4579,1,1,True
2008,625,NITROGEN DISSOLVED KJELDAHL (DKN),442,mg/L,0.05,4538,1,1,True
2009,626,NITROGEN TOTAL KJELDAHL (TKN),442,mg/L,0.05,4579,1,1,True
2010,731,PHOSPHORUS TOTAL DISSOLVED,443,mg/L,0.003,4578,1,1,True
2013,730,PHOSPHORUS TOTAL (P),443,mg/L,0.003,4579,1,1,True
2014,700,PHOSPHATE DISSOLVED ORTHO,1117,mg/L,0.003,4546,1,1,True
2031,742,REDOX POTENTIAL,31,mV,nan,2362,1,1,True
2041,3358,SPECIFIC CONDUCTANCE (LAB),32,uS/cm,nan,4578,1,1,True
5154,4803,OXYGEN-18 IN WATER,569,o/oo VSMOW,nan,1962,1,1,True
5155,4804,HYDROGEN-2 (DEUTERIUM) IN WATER,571,o/oo VSMOW,nan,1962,1,1,True
5163,620,NITRILOTRIACETIC ACID (NTA),584,mg/L,2.0,2,1,1,True
6107,478,CARBON DISSOLVED ORGANIC (DOC),119,mg/L; ug/L,0.4,4490,2,1,False
6152,475,CARBON DISSOLVED INORGANIC (DIC),99,mg/L,0.5,4,1,1,True
6154,475,CARBON DISSOLVED INORGANIC (DIC),119,mg/L,0.5,4,1,1,True
7602,636,NITROGEN TOTAL (CALCD.),301,mg/L,nan,4577,1,1,True
8301,657,OXYGEN TOTAL COD,343,mg/L,1.0,1,1,1,True
9105,532,FLUORIDE DISSOLVED,356,mg/L,0.05,370,1,1,True
10301,3360,PH (LAB),389,pH units,nan,4578,1,1,True
10602,542,HARDNESS TOTAL CACO3 (CALCD.),423,mg/L,nan,4578,1,1,True
11111,600,SODIUM DISSOLVED/FILTERED,1516,mg/L,0.03,4578,1,1,True
11201,599,SODIUM ADSORPTION RATIO (CALCD.),453,rel units,nan,198,1,1,True
12111,581,MAGNESIUM DISSOLVED/FILTERED,1516,mg/L,0.002,4578,1,1,True
14106,786,SILICA REACTIVE,512,mg/L,nan,46,1,1,True
14376,5443,FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD),4407,ppb QSU,0.07,209,1,1,True
14377,5443,FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD),4407,RFU,nan,209,1,1,True
19111,565,POTASSIUM DISSOLVED/FILTERED,1516,mg/L,0.3,4578,1,1,True
20111,404,CALCIUM DISSOLVED/FILTERED,1516,mg/L,0.006,4578,1,1,True
22213,443,COLOUR TRUE,3535,CU,2.0,3990,1,1,True
22214,487,CARBON TOTAL ORGANIC (TOC),119,mg/L,0.5,4346,1,1,True
60209,5087,IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.),4288,%,0.0,4457,1,1,True
61189,544,FORMALDEHYDE TOTAL,222,ug/L,1.0,2,1,1,True
61337,689,PHENOLIC MATERIAL,4340,mg/L,0.0001,2,1,1,True
61700,2797,NITROGEN NITRATE,180,mg/L,0.003,64,1,1,True
61701,627,NITROGEN NO3 & NO2,180,mg/L,0.003,64,1,1,True
80558,3361,OXYGEN DISSOLVED (FIELD METER),1788,mg/L,0.1,4555,1,1,True
97060,839,TEMPERATURE AIR,2182,deg C,nan,4363,1,1,True
